store_id,brand,store_name,address,city,state,zip,role,latitude,longitude,geocode_display_name
PB_12,Publix,Publix,11222 Providence Rd W,Charlotte,NC,28277,competitor,35.0425775,-80.8496279,"Publix, 11222, Providence Road West, Ballantyne, Charlotte, Mecklenburg County, North Carolina, 28277, United States"
PB_13,Publix,Publix,1615 Providence Rd S,Marvin,NC,28173,competitor,34.9812720,-80.7722482,"Providence Road South, Marvin, Union County, North Carolina, 28173, United States"
PB_14,Publix,Publix,12810 S Tryon St,Charlotte,NC,28273,competitor,35.1049407,-80.9880199,"Publix, 12810, South Tryon Street, Charlotte, Mecklenburg County, North Carolina, 28273, United States"
LF_01,Lowes Foods,Lowes Foods,2415 Herrons Nest Pl NW,Concord,NC,28027,competitor,35.3823193,-80.7348278,"Herrons Nest Place Northwest, Christenbury, Concord, Cabarrus County, North Carolina, United States"
LF_02,Lowes Foods,Lowes Foods,4445 School House Commons,Harrisburg,NC,28075,competitor,,,
LF_03,Lowes Foods,Lowes Foods,14021 Boren St,Huntersville,NC,28078,competitor,35.4040565,-80.8665105,"Lowes Foods, 14021, Boren Street, Rosedale, Huntersville, Mecklenburg County, North Carolina, 28078, United States"
AL_01,ALDI,ALDI,10629 Park Rd,Charlotte,NC,28210,competitor,35.1166231,-80.8559523,"Park Road, Quail Hollow, Charlotte, Mecklenburg County, North Carolina, 28210, United States"
AL_02,ALDI,ALDI,10710 South Tryon St,Charlotte,NC,28273,competitor,35.1198559,-80.9559887,"ALDI, 10710, South Tryon Street, Charlotte, Mecklenburg County, North Carolina, 28273, United States"
AL_03,ALDI,ALDI,2526 Freedom Dr,Charlotte,NC,28208,competitor,35.2370525,-80.8803038,"Aldi, 2526, Freedom Drive, Camp Greene, Ashley Park, Charlotte, Mecklenburg County, North Carolina, 28208, United States"
AL_04,ALDI,ALDI,4006 Connection Point Blvd,Charlotte,NC,28212,competitor,35.1851175,-80.7618506,"ALDI, 4006, Connection Point Boulevard, Rama, Charlotte, Mecklenburg County, North Carolina, 28212, United States"
AL_05,ALDI,ALDI,4120 Sunset Rd,Charlotte,NC,28216,competitor,35.3040955,-80.8592350,"ALDI, 4120, Sunset Road, Charlotte, Mecklenburg County, North Carolina, 28216, United States"
AL_06,ALDI,ALDI,5550 Old Pineville Rd,Charlotte,NC,28217,competitor,35.1644526,-80.8788123,"ALDI, 5550, Old Pineville Road, Currituck, Charlotte, Mecklenburg County, North Carolina, 28217, United States"
AL_07,ALDI,ALDI,5817 Prosperity Church Rd,Charlotte,NC,28269,competitor,35.3723900,-80.7861346,"ALDI, 5817, Prosperity Church Road, Charlotte, Mecklenburg County, North Carolina, 28269, United States"
AL_08,ALDI,ALDI,6454 Albemarle Rd,Charlotte,NC,28212,competitor,35.2012828,-80.7344448,"Aldi, 6454, Albemarle Road, Eastland, Charlotte, Mecklenburg County, North Carolina, 28212, United States"
AL_09,ALDI,ALDI,9609 N Tryon St,Charlotte,NC,28262,competitor,35.3154389,-80.7403629,"9609, North Tryon Street, University City, Charlotte, Mecklenburg County, North Carolina, 28262, United States"
LD_01,Lidl,Lidl,8930 Christenbury Pkwy,Concord,NC,28027,competitor,35.3768173,-80.7322624,"Lidl, 8930, Christenbury Parkway, Concord, Cabarrus County, North Carolina, 28027, United States"
LD_02,Lidl,Lidl,615 W Mallard Creek Church Rd,Charlotte,NC,28262,competitor,35.3273489,-80.7380473,"Lidl 1044, 615, West Mallard Creek Church Road, University City, Charlotte, Mecklenburg County, North Carolina, 28262, United States"
LD_03,Lidl,Lidl,4520 Margaret Wallace Rd,Matthews,NC,28105,competitor,35.1719310,-80.7077236,"4520, Margaret Wallace Road, Matthews, Mecklenburg County, North Carolina, 28105, United States"
LD_04,Lidl,Lidl,9318 Monroe Rd,Charlotte,NC,28270,competitor,35.1451917,-80.7429230,"9318, Monroe Road, Forest Homes, Charlotte, Mecklenburg County, North Carolina, 28270, United States"
LD_05,Lidl,Lidl,11200 Carmel Commons Blvd,Charlotte,NC,28226,competitor,35.0829227,-80.8457626,"Lidl, 11200, Carmel Commons Boulevard, Carmel, Carmel Commons, Charlotte, Mecklenburg County, North Carolina, 28226, United States"
LD_06,Lidl,Lidl,11225 S Tryon St,Charlotte,NC,28273,competitor,35.1143230,-80.9625896,"Lidl, 11225, South Tryon Street, Charlotte, Mecklenburg County, North Carolina, 28273, United States"
